VarName;TimeString;VarValue;Validity;Time_ms
231;2015-11-02 11:09;-1;1;42310464953
238;2015-11-02 11:09;-1;1;42310464953
239;2015-11-02 11:09;-1;1;42310464953
18;2015-11-02 11:09;-1;1;42310464953
19;2015-11-02 11:09;-1;1;42310464953
20;2015-11-02 11:09;-1;1;42310464953
22;2015-11-02 11:09;-1;1;42310464953
24;2015-11-02 11:09;-1;1;42310464953
25;2015-11-02 11:09;-1;1;42310464953
26;2015-11-02 11:09;-1;1;42310464953
27;2015-11-02 11:09;-1;1;42310464953
28;2015-11-02 11:09;-1;1;42310464953
29;2015-11-02 11:09;-1;1;42310464953
30;2015-11-02 11:09;-1;1;42310464953
31;2015-11-02 11:09;-1;1;42310464953
2;2015-11-02 11:09;-1;1;42310464953
3;2015-11-02 11:09;-1;1;42310464953
5;2015-11-02 11:09;-1;1;42310464953
6;2015-11-02 11:09;-1;1;42310464953
7;2015-11-02 11:09;-1;1;42310464953
8;2015-11-02 11:09;-1;1;42310464953
9;2015-11-02 11:09;-1;1;42310464953
10;2015-11-02 11:09;-1;1;42310464953
11;2015-11-02 11:09;-1;1;42310464953
12;2015-11-02 11:09;-1;1;42310464953
13;2015-11-02 11:09;-1;1;42310464953
14;2015-11-02 11:09;-1;1;42310464953
15;2015-11-02 11:09;-1;1;42310464953
16;2015-11-02 11:09;-1;1;42310464953
1;2015-11-02 11:11;-1;1;42310466052
18;2015-11-02 11:11;0;1;42310466307
19;2015-11-02 11:11;0;1;42310466307
20;2015-11-02 11:11;0;1;42310466307
22;2015-11-02 11:11;0;1;42310466307
24;2015-11-02 11:11;0;1;42310466307
25;2015-11-02 11:11;0;1;42310466307
26;2015-11-02 11:11;0;1;42310466307
27;2015-11-02 11:11;0;1;42310466307
28;2015-11-02 11:11;0;1;42310466307
29;2015-11-02 11:11;0;1;42310466307
30;2015-11-02 11:11;0;1;42310466307
31;2015-11-02 11:11;0;1;42310466307
1;2015-11-02 11:11;0;1;42310466307
2;2015-11-02 11:11;0;1;42310466307
3;2015-11-02 11:11;0;1;42310466307
5;2015-11-02 11:11;0;1;42310466307
6;2015-11-02 11:11;0;1;42310466307
7;2015-11-02 11:11;0;1;42310466307
8;2015-11-02 11:11;0;1;42310466307
9;2015-11-02 11:11;0;1;42310466307
10;2015-11-02 11:11;0;1;42310466307
11;2015-11-02 11:11;0;1;42310466307
12;2015-11-02 11:11;0;1;42310466307
13;2015-11-02 11:11;0;1;42310466307
14;2015-11-02 11:11;0;1;42310466307
