"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Czas_Awarii_15";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_16";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_17";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_18";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_19";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_2";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_20";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_21";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_22";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_23";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_24";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_25";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_26";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_27";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_28";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_29";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_3";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_30";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_31";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_4";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_5";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_6";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_7";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_8";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_9";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_1";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_10";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_11";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_12";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_13";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_14";"2015-11-02 11:40:57";26;1;42310486774,375
"Czas_Awarii_15";"2015-11-02 11:41:07";26;1;42310486890,2894
