"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DANE URZ¥DZEÑ_URZ¥DZENIE{1}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:09:32";-1;1;42310464952,9745
"DANE URZ¥DZEÑ_URZ¥DZENIE{1}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:06";0;1;42310466040,8912
"DANE URZ¥DZEÑ_URZ¥DZENIE{22}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{30}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{29}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{28}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{27}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{26}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{25}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{24}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{20}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{19}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{18}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{16}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{15}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{14}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{13}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{12}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{11}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{10}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1065
"DANE URZ¥DZEÑ_URZ¥DZENIE{9}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{8}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{7}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{6}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{5}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{3}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{2}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{1}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{31}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:29";-1;1;42310466307,1181
"DANE URZ¥DZEÑ_URZ¥DZENIE{10}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{9}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{8}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{7}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{6}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{5}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{3}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{2}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{1}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:45";0;1;42310466492,2917
"DANE URZ¥DZEÑ_URZ¥DZENIE{20}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{19}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{18}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{16}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{15}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{14}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{13}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{12}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{11}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:11:56";0;1;42310466619,6065
"DANE URZ¥DZEÑ_URZ¥DZENIE{22}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{30}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{29}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{28}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{27}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{26}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{25}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{24}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:06";0;1;42310468124,2824
"DANE URZ¥DZEÑ_URZ¥DZENIE{31}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:14:14";0;1;42310468216,8981
"DANE URZ¥DZEÑ_URZ¥DZENIE{22}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{30}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{29}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{28}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{27}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{26}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{25}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{24}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{20}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{19}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{18}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{16}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{15}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{14}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{13}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{12}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{11}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{10}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{9}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{8}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{7}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{6}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{5}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{3}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{2}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{1}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{31}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:15:55";-1;1;42310469385,9259
"DANE URZ¥DZEÑ_URZ¥DZENIE{22}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{30}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{29}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{28}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{27}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{26}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{25}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
"DANE URZ¥DZEÑ_URZ¥DZENIE{24}.STATUS.S£OWO_STATUSU.GOTOWOŒÆ";"2015-11-02 11:16:18";0;1;42310469652,1296
